Index;Date[UTC];Time[UTC];DvLIR-SN;MeterNumber;1.8.0[kWh];1.8.1[kWh];1.8.2[kWh];2.8.0[kWh];2.8.1[kWh];2.8.2[kWh];CurrentPower[W];Status
362;24.02.2024;21:30:00;000001;11121956;3534,9290;3534,9290;0,0000;49,7710;49,7710;0,0000;569;
363;24.02.2024;21:15:00;000001;11121956;3534,7323;3534,7323;0,0000;49,7710;49,7710;0,0000;682;
364;24.02.2024;21:00:00;000001;11121956;3534,6815;3534,6815;0,0000;49,7710;49,7710;0,0000;135;
365;24.02.2024;20:45:00;000001;11121956;3534,6470;3534,6470;0,0000;49,7710;49,7710;0,0000;136;
366;24.02.2024;20:30:00;000001;11121956;3534,6073;3534,6073;0,0000;49,7710;49,7710;0,0000;135;
367;24.02.2024;20:15:00;000001;11121956;3534,5734;3534,5734;0,0000;49,7710;49,7710;0,0000;136;
368;24.02.2024;20:00:00;000001;11121956;3534,5394;3534,5394;0,0000;49,7710;49,7710;0,0000;135;
369;24.02.2024;19:45:00;000001;11121956;3534,5055;3534,5055;0,0000;49,7710;49,7710;0,0000;136;
370;24.02.2024;19:30:00;000001;11121956;3534,4650;3534,4650;0,0000;49,7710;49,7710;0,0000;176;
371;24.02.2024;19:15:00;000001;11121956;3534,4171;3534,4171;0,0000;49,7710;49,7710;0,0000;137;
372;24.02.2024;19:00:00;000001;11121956;3534,3829;3534,3829;0,0000;49,7710;49,7710;0,0000;136;
373;24.02.2024;18:45:00;000001;11121956;3534,3489;3534,3489;0,0000;49,7710;49,7710;0,0000;135;
374;24.02.2024;18:30:00;000001;11121956;3534,3147;3534,3147;0,0000;49,7710;49,7710;0,0000;136;
375;24.02.2024;18:15:00;000001;11121956;3534,2806;3534,2806;0,0000;49,7710;49,7710;0,0000;137;
376;24.02.2024;18:00:00;000001;11121956;3534,2394;3534,2394;0,0000;49,7710;49,7710;0,0000;136;
377;24.02.2024;17:45:00;000001;11121956;3534,2053;3534,2053;0,0000;49,7710;49,7710;0,0000;136;
378;24.02.2024;17:30:00;000001;11121956;3534,1685;3534,1685;0,0000;49,7710;49,7710;0,0000;171;
379;24.02.2024;17:15:00;000001;11121956;3534,1236;3534,1236;0,0000;49,7710;49,7710;0,0000;175;
380;24.02.2024;17:00:00;000001;11121956;3534,0870;3534,0870;0,0000;49,7710;49,7710;0,0000;135;
381;24.02.2024;16:45:00;000001;11121956;3534,0470;3534,0470;0,0000;49,7710;49,7710;0,0000;126;
382;24.02.2024;16:30:00;000001;11121956;3534,0156;3534,0156;0,0000;49,7710;49,7710;0,0000;124;
